# Program_Name,  Zipfile_Name,  Program_Folder,  Test_Flow,  TesterOS_Version,    Mode_Code


#SCICS_9070AB_ECO3_FT2_B_Reliability_20200108,  AKM\SCICS_9070_FT2_ECO3_B_Reliability.zip,  AKM\SCICS_9070_FT2_ECO3_B_Reliability,  SCICS_9070AB_ECO3_FT2_B_Reliability_20200108.txt,   3.60.20,      FT1_QA1
MK0821A2_BB_J750HD_F1_25_4A,  LTC\MK0821A2_BB_J750HD_F1_25_4A.zip,    LTC\MK0821A2_BB_J750HD_F1_25_4A,           MK0821A2_BB_J750HD_F1_25_4A.txt,     3.60.20,     FT1_QA1


#MAS1102A1_AA_J750HD36020_F1_25_8B1,  LTC\MAS1102A1_AA_J750HD36020_F1_25_8B1.zip,    LTC\MAS1102A1_AA_J750HD36020_F1_25_8B1,           MAS1102A1_AA_J750HD36020_F1_25_8B1.txt,     3.60.20,     FT1_QA1

MAS1102A1_AA_J750HD36020_F1_25_8B3_corner,  LTC\MAS1102A1_AA_J750HD36020_F1_25_8B3_corner.zip,    LTC\MAS1102A1_AA_J750HD36020_F1_25_8B3_corner,           MAS1102A1_AA_J750HD36020_F1_25_8B3_corner.txt,     3.60.20,     FT1_QA1

#MAS1102A1_AA_J750HD36020_F1_25_8B6,  LTC\MAS1102A1_AA_J750HD36020_F1_25_8B6.zip,    LTC\MAS1102A1_AA_J750HD36020_F1_25_8B6,           MAS1102A1_AA_J750HD36020_F1_25_8B6.txt,     3.60.20,      QA1

MAS1102A1_AA_J750HD36020_Q1_25_8B7,  LTC\MAS1102A1_AA_J750HD36020_F1_25_8B7.zip,    LTC\MAS1102A1_AA_J750HD36020_F1_25_8B7,           MAS1102A1_AA_J750HD36020_Q1_25_8B7.txt,     3.60.20,      QA1

#MAS1102A2_AA_J750HD36020_Q1_25_8A,  LTC\MAS1102A2_AA_J750HD36020_F1_25_8A.zip,    LTC\MAS1102A2_AA_J750HD36020_F1_25_8A,         MAS1102A2_AA_J750HD36020_Q1_25_8A.txt,     3.60.20,      QA1

MAS1102A1_AA_J750HD36020_F1_25_8C,  LTC\MAS1102A1_AA_J750HD36020_F1_25_8C.zip,    LTC\MAS1102A1_AA_J750HD36020_F1_25_8C,            MAS1102A1_AA_J750HD36020_F1_25_8C.txt,     3.60.20,      FT1
MAS1102A1_AA_J750HD36020_Q1_25_8C,  LTC\MAS1102A1_AA_J750HD36020_F1_25_8C.zip,    LTC\MAS1102A1_AA_J750HD36020_F1_25_8C,          MAS1102A1_AA_J750HD36020_Q1_25_8C.txt,     3.60.20,      QA1

MAS1102A2_AA_J750HD36020_F1_25_8B,  LTC\MAS1102A2_AA_J750HD36020_F1_25_8B.zip,    LTC\MAS1102A2_AA_J750HD36020_F1_25_8B,           MAS1102A2_AA_J750HD36020_F1_25_8B.txt,     3.60.20,      FT1
MAS1102A2_AA_J750HD36020_Q1_25_8B,  LTC\MAS1102A2_AA_J750HD36020_F1_25_8B.zip,    LTC\MAS1102A2_AA_J750HD36020_F1_25_8B,          MAS1102A2_AA_J750HD36020_Q1_25_8B.txt,     3.60.20,      QA1

MAS1102A1_AA_J750HD36020_F1_25_8C_corner,  LTC\MAS1102A1_AA_J750HD36020_F1_25_8C_corner.zip,    LTC\MAS1102A1_AA_J750HD36020_F1_25_8C_corner,           MAS1102A1_AA_J750HD36020_F1_25_8C_corner.txt,     3.60.20,      FT1
